timestamp_event,received_at,service_name,severity,message,trace_id,request_id,method,endpoint,status_code,latency_ms,host,env,region,log_type
2026-01-10T00:02:39.029160Z,2026-01-10T00:02:39.097160Z,orders-service,INFO,Request completed,bd8e6ebe717b4c43ba5e72e1668641a8,e6b3009adcad,GET,/orders/create,200,99,orders-service-pod-03,prod,sa-east-1,request
2026-01-10T00:02:46.081021Z,2026-01-10T00:02:46.196021Z,api-gateway,INFO,Background job completed,40ac5ff97bae43d5b8045484725e0aca,e2aa1cccd1cf,GET,/health,200,122,api-gateway-pod-01,prod,sa-east-1,request
2026-01-10T00:04:01.648849Z,2026-01-10T00:04:01.718849Z,notification-service,WARN,Rate limit nearing threshold,c048b378759a4c54a6f7d7251a6acc88,c74106ca8581,POST,/notify/sms,200,646,notification-service-pod-03,prod,sa-east-1,request
2026-01-10T00:05:08.148346Z,2026-01-10T00:05:08.236346Z,api-gateway,INFO,Background job completed,072169f708c84227986bfda9f9657bdc,bf10fa3609bd,GET,/checkout,200,127,api-gateway-pod-03,prod,sa-east-1,request
2026-01-10T00:05:19.590837Z,2026-01-10T00:05:19.632837Z,inventory-service,INFO,Health check OK,e76a214131d24a4ea1acf389362e34cb,f672d669eda7,GET,/inv/release,200,144,inventory-service-pod-02,prod,sa-east-1,request
2026-01-10T00:06:19.924146Z,2026-01-10T00:06:20.038146Z,api-gateway,WARN,Retrying upstream request,894f894471ae4a01a99f3438d72a6785,f415d0a466a7,POST,/login,200,629,api-gateway-pod-02,prod,sa-east-1,request
2026-01-10T00:09:50.013594Z,2026-01-10T00:09:50.107594Z,notification-service,INFO,Request completed,fe11fe5dc205425291c32d732330707d,b438331d4094,POST,/notify/sms,200,125,notification-service-pod-03,prod,sa-east-1,request
2026-01-10T00:12:59.091793Z,2026-01-10T00:12:59.142793Z,api-gateway,INFO,Background job completed,7252a29601144783b1da5d1ba15603d1,aeceb30dc293,GET,/orders,200,75,api-gateway-pod-01,prod,sa-east-1,request
2026-01-10T00:13:15.530380Z,2026-01-10T00:13:15.597380Z,orders-service,INFO,Background job completed,1ac9a3dd9ac548c387b8e544a897e59c,5bd436327389,GET,/orders/status,200,91,orders-service-pod-02,prod,sa-east-1,request
2026-01-10T00:13:39.529377Z,2026-01-10T00:13:39.626377Z,inventory-service,INFO,Request completed,787d2bdca3fc450995992bb823ae4ede,ba2515b405b0,GET,/inv/reserve,200,247,inventory-service-pod-01,prod,sa-east-1,request
2026-01-10T00:16:17.602850Z,2026-01-10T00:16:17.671850Z,notification-service,WARN,Rate limit nearing threshold,f3961b3bf6aa49c9bc2130a9322eeec9,0bdb86eae78e,GET,/notify/email,200,650,notification-service-pod-01,prod,sa-east-1,request
2026-01-10T00:17:18.019377Z,2026-01-10T00:17:18.073377Z,orders-service,INFO,Request completed,a7fbc380792747cd8704ebb80a191191,683acb0d3390,GET,/orders/status,200,79,orders-service-pod-01,prod,sa-east-1,request
2026-01-10T00:17:31.265950Z,2026-01-10T00:17:31.350950Z,notification-service,INFO,Background job completed,46280b1d9255411aa9adaf2f07bf42f1,c7dd5b43c149,POST,/notify/sms,200,136,notification-service-pod-02,prod,sa-east-1,request
2026-01-10T00:19:24.352356Z,2026-01-10T00:19:24.397356Z,orders-service,INFO,Health check OK,40aa10ef23484315bdd50c0197f337eb,26dba733d99c,GET,/orders/status,200,151,orders-service-pod-02,prod,sa-east-1,request
2026-01-10T00:20:02.900837Z,2026-01-10T00:20:03.010837Z,api-gateway,INFO,Background job completed,ef0690232f32450eb26156c34fdce3b3,278890343533,POST,/inventory,200,122,api-gateway-pod-02,prod,sa-east-1,request
2026-01-10T00:20:15.028101Z,2026-01-10T00:20:15.147101Z,orders-service,ERROR,Database query failed,8bcd583317974a12883fb695e14e3ce0,1ada49fb4a45,GET,/orders/create,503,353,orders-service-pod-01,prod,sa-east-1,request
2026-01-10T00:20:39.019587Z,2026-01-10T00:20:39.121587Z,orders-service,INFO,Background job completed,d7883ea2619f46abafef8ad8d80a81e1,81b1f2bd8508,POST,/orders/create,200,109,orders-service-pod-02,prod,sa-east-1,request
2026-01-10T00:20:39.826244Z,2026-01-10T00:20:39.882244Z,inventory-service,INFO,Request completed,a11e30365b5a4a6a8e37e5b2f06ae0d3,d6a4abc74613,GET,/inv/reserve,200,117,inventory-service-pod-02,prod,sa-east-1,request
2026-01-10T00:21:31.853588Z,2026-01-10T00:21:31.936588Z,orders-service,INFO,Request completed,73f6d39be190410794f12c2ee8663b07,8f8d4a3508c6,GET,/orders/status,200,118,orders-service-pod-02,prod,sa-east-1,request
2026-01-10T00:21:57.221201Z,2026-01-10T00:21:57.278201Z,orders-service,INFO,Background job completed,ec9c727b7feb423481ae169d773e268a,d4b4ade095aa,POST,/orders/cancel,200,115,orders-service-pod-03,prod,sa-east-1,request
2026-01-10T00:22:34.010136Z,2026-01-10T00:22:34.063136Z,notification-service,INFO,Health check OK,71fc198b634747038bae8da0abe4f5a9,e67398544912,POST,/notify/sms,200,149,notification-service-pod-03,prod,sa-east-1,request
2026-01-10T00:22:41.051377Z,2026-01-10T00:22:41.169377Z,inventory-service,WARN,Retrying upstream request,78238afc69894cba949e8d8cfbc8feba,770cca79bbc2,GET,/inv/stock,200,258,inventory-service-pod-03,prod,sa-east-1,request
2026-01-10T00:23:18.573540Z,2026-01-10T00:23:18.621540Z,inventory-service,INFO,Background job completed,02fd462f3ae3438cb9ff27b7392be91b,511bfaf2ca9b,GET,/inv/stock,200,115,inventory-service-pod-01,prod,sa-east-1,request
2026-01-10T00:27:54.822012Z,2026-01-10T00:27:54.895012Z,payment-service,INFO,Request completed,b10fbac59ea940cabca4a9f70f51345b,d95a7df7dc4b,GET,/pay/refund,200,115,payment-service-pod-03,prod,sa-east-1,request
2026-01-10T00:29:34.192278Z,2026-01-10T00:29:34.298278Z,auth-service,INFO,Background job completed,9af5abc11eae4a49a68e61389b35dc23,2cef5d7e23fa,POST,/auth/refresh,200,214,auth-service-pod-02,prod,sa-east-1,request
2026-01-10T00:34:01.003511Z,2026-01-10T00:34:01.055511Z,payment-service,INFO,Health check OK,30908eb939d84344b9338137c3ef7563,f469229e0650,GET,/pay/status,200,170,payment-service-pod-01,prod,sa-east-1,request
2026-01-10T00:37:38.669550Z,2026-01-10T00:37:38.777550Z,payment-service,INFO,Health check OK,c376d3f01f64415090b4070f01f1e122,196b116920e8,GET,/pay/charge,200,118,payment-service-pod-02,prod,sa-east-1,request
2026-01-10T00:40:32.476709Z,2026-01-10T00:40:32.562709Z,inventory-service,ERROR,Upstream timeout,70b1958ff8b342b783df57223c5202d4,0c63895478e3,GET,/inv/release,500,2052,inventory-service-pod-03,prod,sa-east-1,request
2026-01-10T00:40:53.961974Z,2026-01-10T00:40:54.068974Z,auth-service,INFO,Health check OK,22047f90448149d9a6ea563e38ba73b1,fe104987b73d,POST,/auth/refresh,200,124,auth-service-pod-03,prod,sa-east-1,request
2026-01-10T00:41:31.237326Z,2026-01-10T00:41:31.304326Z,inventory-service,INFO,Background job completed,abfca242b3a24d6895b13b5b26add4c7,47b14be886ea,POST,/inv/reserve,200,263,inventory-service-pod-02,prod,sa-east-1,request
2026-01-10T00:42:46.480869Z,2026-01-10T00:42:46.592869Z,api-gateway,INFO,Background job completed,6e45cfe1fc454d67bed67ea9f1c77070,d3d4dfb01e5f,GET,/inventory,200,130,api-gateway-pod-02,prod,sa-east-1,request
2026-01-10T00:43:15.124911Z,2026-01-10T00:43:15.176911Z,inventory-service,INFO,Background job completed,40fd218b6fec4106af5d466bbb51cfeb,a35c007e0312,POST,/inv/release,200,78,inventory-service-pod-03,prod,sa-east-1,request
2026-01-10T00:45:16.852511Z,2026-01-10T00:45:16.966511Z,api-gateway,INFO,Request completed,1b4c4205147142be8856c823e718833e,5f2c73cac70b,GET,/health,200,131,api-gateway-pod-02,prod,sa-east-1,request
